DateTime,internal_txn_id,platform_txn_id,Venue,Transaction Type,Base Asset,Base Asset Amount,Quote Asset,Quote Asset Amount,Price Paid,Txn Fee Asset,Txn Fee Paid Quantity,Txn_Total,NOTES
2022-02-07T09:15:42.000Z,2005,Yrqi6JBDUDzB66YXnrwZfojRSzBfR41qQJ2zbdHs2TdnPhyY9hMSJJeTKibdds1kaP64CvmnJb4T57wZ2jRVns8,MagicEden,BUY (NFT Swap),SOL,10.695000000,USD,1247.92,116.68,,,,Sell Filly 2088 for 11.5 SOL
2022-03-23T23:53:56.000Z,2006,4ivvmgSoL7UH4jnYDREndTuCNpD88MYB9sD9P91HuFrTxvAsvzyHUFbTa7ZKNkGDyMTJDkaPkFv85rrFRKvhZ1Xc,MagicEden,SELL (NFT Swap),SOL,12.700000000,USD,1205.23,94.90,,,,Buy CET for 12.7 SOL
2022-03-23T23:53:56.000Z,2006,4ivvmgSoL7UH4jnYDREndTuCNpD88MYB9sD9P91HuFrTxvAsvzyHUFbTa7ZKNkGDyMTJDkaPkFv85rrFRKvhZ1Xc,MagicEden,BUY (NFT Swap),NFT-CET-#5444,1.000000000,USD,1205.23,"1,205.23",,,,Buy CET for 12.7 SOL
2022-03-26T21:54:43.000Z,2007,4gXcT3uNDFfgRDqE89FsLc1qQwfuD7oYSYhC737EiUPT9QaqQTuufLTVRycMcWo1DRkwtJVcMY4DH4xFa6JxU2uQ,UNKNOWN,SELL (NFT Swap),SOL,269.000000000,USD,27464.90,102.10,,,,Buy SMB for 269 SOL
2022-03-26T21:54:43.000Z,2007,4gXcT3uNDFfgRDqE89FsLc1qQwfuD7oYSYhC737EiUPT9QaqQTuufLTVRycMcWo1DRkwtJVcMY4DH4xFa6JxU2uQ,UNKNOWN,BUY (NFT Swap),NFT-SMB-4279,1.000000000,USD,27464.90,"27,464.90",,,,Buy SMB for 269 SOL
2022-03-28T16:56:18.000Z,2008,2HUjYY9sWpqfrLsi3pTEdvBJv6WAQYJGmpJvGhatpqmEt958kvaXNLUfSjPW9LsFWCchDiio59uYW9NTVdMhrRJc,MagicEden,SELL (NFT Swap),NFT-SOLSTEAD-27_Ape_Lane,1.000000000,USD,2873.25,"2,873.25",,,,Sell Solstead for 28 SOL
2022-03-28T16:56:18.000Z,2008,2HUjYY9sWpqfrLsi3pTEdvBJv6WAQYJGmpJvGhatpqmEt958kvaXNLUfSjPW9LsFWCchDiio59uYW9NTVdMhrRJc,MagicEden,BUY (NFT Swap),SOL,26.040000000,USD,2873.25,110.34,,,,Sell Solstead for 28 SOL
2022-03-29T17:44:23.000Z,2009,SOL_SCZNGKvDc2VkFWb9avbqJXZrkw2kKQSsvSrCxFq7vdcN1yRsBNh4xzebRJnx3uNYFqHXaLqnusNqwYUQ96nFfJy,ORCA,SELL (Token Swap),SOL,0.922076720,USD,100.99,109.52,,,,Sell SOL for USDC
2022-03-29T17:44:23.000Z,2009,SOL_SCZNGKvDc2VkFWb9avbqJXZrkw2kKQSsvSrCxFq7vdcN1yRsBNh4xzebRJnx3uNYFqHXaLqnusNqwYUQ96nFfJy,ORCA,BUY (Token Swap),USDC,100.990000000,USD,100.99,1.00,,,,Sell SOL for USDC
2022-04-21T18:05:59.000Z,2010,SOL_59PcXxaLdbwaXhLehSgFVrFhJaJLsL7VTw9rmxxUg8z5LAsx78KXEoH9k2ihubFQqSYb4g4x6k3F1r5TodAA6YD1,N/A,AIRDROP,NFT-CET-MELK,1.000000000,USD,0.00,0.00,,,,Receive Cets Melk via Airdrop
